Metric,Platform,Value_Reported,Value_Reported_Unit,Value_Converted,Value_Converted_Unit,Central_Share,State_Share,AsOfDate,ReportedDate,Precision,StateSharePct
Total services/document types,UMANG,2575.0,count,2575,count,880.0,1695.0,2026-07-31,2026-08-07,exact,65.8252427184466
Total services/document types,DigiLocker,5437.0,count,5437,count,661.0,4776.0,2026-07-31,2026-08-07,exact,87.84256023542395
Registered users,UMANG,11.66,crore,116600000,users,,,2026-07-31,2026-08-07,exact,
Registered users,DigiLocker,72.43,crore,724300000,users,,,2026-07-31,2026-08-07,exact,
Transactions (trailing 3 years),UMANG,798.0,crore,7980000000,transactions,,,,2026-08-07,approximate,
Transactions (trailing 3 years),DigiLocker,72.86,crore,728600000,transactions,,,,2026-08-07,approximate,
